rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link,Location,Cate,rest_id
"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Aeon Mall Tân Phú","Tầng 3,  T27 Tầng 3, Aeon Mall Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ, Quận Tân Phú, TP. HCM",10:00 - 22:00,80.000 - 695.000,8.0,8.0,8.0,9.0,7.0,8.0,https://www.foody.vn/ho-chi-minh/al-fresco-s-aeon-mall-tan-phu,TPHCM,Nha Hang,264
Dì Mai - Nhà Hàng Việt Nam - Vincom Landmark 81,"L02-03, Vincom Landmark 81, 772 Điện Biên Phủ, P. 22, Quận Bình Thạnh, TP. HCM",10:00 - 22:00,50.000 - 300.000,7.7,7.9,7.1,7.2,8.2,8.1,https://www.foody.vn/ho-chi-minh/di-mai-nha-hang-viet-nam-landmark-81,TPHCM,Nha Hang,159
Xôi Chiên - Hẻm 50 Phùng Văn Cung,"50/22/4 Phùng Văn Cung, P. 7, Quận Phú Nhuận, TP. HCM",11:00 - 19:00,5.000 - 10.000,7.4,7.7,7.8,7.5,7.0,7.0,https://www.foody.vn/ho-chi-minh/xoi-chien-hem-50-phung-van-cung,TPHCM,An Vat Via He,466
"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Aeon Mall Bình Tân","T1 Tầng 3, Aeon Mall Bình Tân, 1 Đường Số 17A, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",10:00 - 22:00,80.000 - 695.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/al-fresco-s-pizza-my-y-suon-steak-bo-bit-tet-aeon-mall-binh-tan,TPHCM,Nha Hang,1110
Dì Mai - Nhà Hàng Việt Nam - Crescent Mall,"Tầng 3,  Tầng 3 ,Crescent Mall Phase 2, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",10:00 - 22:00,50.000 - 300.000,7.5,6.7,6.3,8.3,7.7,8.3,https://www.foody.vn/ho-chi-minh/di-mai-nha-hang-viet-nam-crescent-mall,TPHCM,Nha Hang,1176
Xôi Chiên - Trần Khắc Chân,"13 Trần Khắc Chân, P. 15, Quận Phú Nhuận, TP. HCM",14:00 - 19:00,4.000 - 10.000,8.7,9.1,9.1,8.9,7.9,8.6,https://www.foody.vn/ho-chi-minh/xoi-chien-tran-khac-chan,TPHCM,An Vat Via He,16
Dì Mai Căn Tin - Nhà Hàng Việt Nam - Mplaza,"Tầng B1, 39 Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM",09:00 - 21:00,50.000 - 300.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/di-mai-can-tin-nha-hang-viet-nam-mplaza,TPHCM,Nha Hang,98
TukTuk Thai Bistro - Lý Tự Trọng,"38 Lý Tự Trọng, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 22:30,100.000 - 300.000,7.4,7.8,6.6,7.4,7.6,7.8,https://www.foody.vn/ho-chi-minh/tuktuk-thai-bistro-ly-tu-trong,TPHCM,Nha Hang,71
Xôi Chiên - 23 Nguyễn Công Hoan,"23 Nguyễn Công Hoan, P. 7, Quận Phú Nhuận, TP. HCM",09:00 - 23:00,5.000 - 220.000,10.0,10.0,10.0,10.0,10.0,10.0,https://www.foody.vn/ho-chi-minh/xoi-chien-23-nguyen-cong-hoan,TPHCM,An Vat Via He,731
Hoàng Tâm - Món Ngon Miền Tây - Nguyễn Cảnh Chân,"TK 22/1 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",10:00 - 23:00,25.000 - 121.000,7.1,7.7,7.0,6.9,6.9,7.2,https://www.foody.vn/ho-chi-minh/hoang-tam,TPHCM,Nha Hang,537
Bánh Tráng Tỏi Ớt Cô Giang,"002 Lô A Chung Cư Trần Quang Diệu, P. 13, Quận 3, TP. HCM",11:00 - 21:00,10.000 - 20.000,,5.7,5.8,5.5,5.4,5.7,https://www.foody.vn/ho-chi-minh/banh-trang-toi-ot-co-giang,TPHCM,An Vat Via He,451
TukTuk Thai Bistro - Lý Tự Trọng,"38 Lý Tự Trọng, Quận 1, TP. HCM",11:00 - 23:00,50.000 - 250.000,7.6,7.9,6.7,7.7,7.8,7.9,https://www.foody.vn/ho-chi-minh/tuk-tuk-thai-bistro-ly-tu-trong,TPHCM,Nha Hang,71
Hoàng Tâm - Món Ngon Miền Tây - Vinhomes Central Park,"Park 1, Vinhomes Central Park, 208 Nguyễn Hữu Cảnh, P. 22, Quận Bình Thạnh, TP. HCM",09:00 - 22:00,25.000 - 150.000,7.0,7.2,7.0,7.0,6.7,7.0,https://www.foody.vn/ho-chi-minh/hoang-tam-mon-ngon-mien-tay-vinhomes-central-park,TPHCM,Nha Hang,1192
Bánh Tráng Tỏi Ớt Cô Giang - Lạc Long Quân,"573 Lạc Long Quân, P. 10, Quận Tân Bình, TP. HCM",10:00 - 22:00,10.000 - 20.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/banh-trang-toi-ot-co-giang-lac-long-quan,TPHCM,An Vat Via He,764
TukTuk Thai Bistro - Hoa Mai,"13 Hoa Mai, Quận Phú Nhuận, TP. HCM",10:00 - 22:00,100.000 - 300.000,7.5,7.9,6.6,7.5,7.8,7.8,https://www.foody.vn/ho-chi-minh/tuktuk-thai-bistro-hoa-mai,TPHCM,Nha Hang,1126
Chả Cá Vàng Thơm - Chả Cá Chiên Ăn Liền - Phan Bội Châu,"35 Phan Bội Châu, P. 14, Quận Bình Thạnh, TP. HCM",07:00 - 20:00,10.000 - 100.000,8.7,9.2,8.7,8.7,8.4,8.5,https://www.foody.vn/ho-chi-minh/cha-ca-vang-thom-cha-ca-chien-an-lien-phan-boi-chau,TPHCM,An Vat Via He,1193
