food_id,rest_id,food_name,food_price
607,1008,Tôm Viên Hạnh Nhân,68000.0
1798,1008,Bánh Cuốn X.O Sò Điệp Khô,86000.0
1454,1008,Tổ Chim Chiên Xù,60000.0
1447,1008,Bánh Nướng Phô Mai,48000.0
110,1008,Há Cảo Hải Sản Dát Vàng,99000.0
1249,1008,Bông Cải Sốt Dầu Hào,98000.0
322,1008,Nấm Rang Kiểu Hồng Kông,118000.0
188,1008,Bông Cải Sò Điệp Sốt Thịt Cua,228000.0
409,1008,Xíu Mại Gạch Cua,60000.0
893,1008,Há Cảo Thuỷ Tinh,60000.0
1095,1151,Bánh Mì Chấm Cà Phê Sữa,30000.0
849,1151,Bánh Mì Que Truyền Thống,15000.0
210,1151,Bánh Mì Que Cá Ngừ Sốt Cay,25000.0
545,1151,Bánh Mì Que Pate Bơ,17000.0
1510,1151,Bánh Mì Bò Tiêu Đen,35000.0
1500,1151,Bánh Mì Thập Cẩm,35000.0
1019,1151,Bánh Mì Gà Nướng Mật Ong,35000.0
527,1151,Bánh Mì Truyền thống,25000.0
1800,1151,Bánh Mì Heo Quay,35000.0
801,1151,Bánh Mì Trứng,25000.0
1253,874,BÁNH MÌ CHẤM CÀ PHÊ SỮA,30000.0
849,874,Bánh Mì Que Truyền Thống,15000.0
545,874,Bánh Mì Que Pate Bơ,17000.0
210,874,Bánh Mì Que Cá Ngừ Sốt Cay,25000.0
1500,874,Bánh Mì Thập Cẩm,35000.0
1019,874,Bánh Mì Gà Nướng Mật Ong,35000.0
1510,874,Bánh Mì Bò Tiêu Đen,35000.0
359,874,Bánh Mì Truyền Thống,25000.0
1800,874,Bánh Mì Heo Quay,35000.0
801,874,Bánh Mì Trứng,25000.0
850,743,Há Cảo Sò Điệp,62000.0
409,743,Xíu Mại Gạch Cua,60000.0
893,743,Há Cảo Thuỷ Tinh,60000.0
1629,743,Chân Gà Hấp Tàu Xì,60000.0
1622,743,Cơm Chiên Hải Sản Sò Điệp,128000.0
1443,743,Tàu Hủ Ki Tôm Chiên,60000.0
641,743,Bánh Bao Kim Sa,60000.0
1846,743,Bánh Bao Xá Xíu Nướng,60000.0
980,743,Bánh Xếp Tôm Chiên,60000.0
81,743,Xôi Gà Trân Châu Trứng Muối,60000.0
584,973,COMBO 2,494640.0
1353,973,COMBO 1,430920.0
564,973,CHICKEN BBQ PIZZA,204120.0
404,973,Seafoof Platter,430920.0
317,973,1 QUATTRO FORMAGGI PIZZA,204120.0
606,973,Hawaiian Pizza 0Đ,204120.0
1121,973,Green salad,74520.0
1545,973,Chicken salad,106920.0
1370,973,Beef salad,171720.0
1779,973,Buzza salad,128520.0
607,110,Tôm Viên Hạnh Nhân,68000.0
1798,110,Bánh Cuốn X.O Sò Điệp Khô,86000.0
1454,110,Tổ Chim Chiên Xù,60000.0
110,110,Há Cảo Hải Sản Dát Vàng,99000.0
1447,110,Bánh Nướng Phô Mai,48000.0
1249,110,Bông Cải Sốt Dầu Hào,98000.0
322,110,Nấm Rang Kiểu Hồng Kông,118000.0
188,110,Bông Cải Sò Điệp Sốt Thịt Cua,228000.0
893,110,Há Cảo Thuỷ Tinh,60000.0
850,110,Há Cảo Sò Điệp,62000.0
190,289,Thịt bò nướng,14000.0
1737,289,Bánh mì bơ,8000.0
461,289,Thịt Heo Nướng,14000.0
116,289,Bánh Mì Bơ Patê,13000.0
547,289,1 Phần Đu Đủ,10000.0
909,289,1 Phần Bơ A Tùng,15000.0
930,289,Bánh Mì Không,4500.0
584,672,COMBO 2,494640.0
1353,672,COMBO 1,430920.0
564,672,CHICKEN BBQ PIZZA,204120.0
404,672,Seafoof Platter,430920.0
317,672,1 QUATTRO FORMAGGI PIZZA,204120.0
606,672,Hawaiian Pizza 0Đ,204120.0
1121,672,Green salad,74520.0
1545,672,Chicken salad,106920.0
1779,672,Buzza salad,128520.0
1370,672,Beef salad,171720.0
1870,9,Pepsi lẻ,15000.0
190,9,Thịt bò nướng,14000.0
1737,9,Bánh mì bơ,8000.0
101,9,Thịt Heo Nướng Xiên,14000.0
1712,9,Bánh Mì Bơ Pate,13000.0
991,9,1phần đồ chua đu đủ 2g,10000.0
930,9,Bánh Mì Không,4000.0
460,9,BOKLOHONG Gỏi Ba Khía,42000.0
1279,9,Bơ A Tùng /1hủ,15000.0
642,827,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
1559,827,Tai heo sốt trứ danh San Fu Lou,95040.0
1189,827,Đậu hũ hoàng kim,95040.0
1138,827,Súp hải sản chua cay,95040.0
248,827,"Gà tiềm trúc xanh, nấm đông cô",105840.0
1576,827,Xá xíu San Fu Lou,181440.0
92,827,Há cảo tôm bó xôi 6 pcs,138240.0
619,827,Há cảo thịt vịt gói kiểu trái lựu 6 pcs,138240.0
1219,827,Bánh bao phong sa,73440.0
326,827,Bánh bao xá xíu,62640.0
795,875,Cháo ếch (nhỏ),105840.0
1639,875,Cháo ếch (lớn),213840.0
612,875,Cháo ếch (vừa),181440.0
851,875,Cháo trắng thêm,32400.0
1361,875,Đậu bắp rang muối ớt,74520.0
1462,875,Nấm kim châm rang muối ớt,85320.0
929,875,Rau nấm thập cẩm rang muối ớt,106920.0
1337,875,Nấm bào ngư rang muối ớt,85320.0
637,875,Cà tím rang muối ớt,74520.0
1379,875,Nấm tay cầm,106920.0
636,613,Tàu hủ tả pí lù,32000.0
224,613,Tàu hủ truyền thống,17000.0
626,613,Tàu hủ thập cẩm,25000.0
178,613,Tàu hủ bánh flan,27000.0
1479,613,Tàu hủ thập cẩm mít,27000.0
1413,613,Tàu hủ ngũ sắc mít,25000.0
120,613,Tàu hủ phô mai,27000.0
1882,613,Tàu hũ ngũ sắc,22000.0
1843,613,TÀU DƯỠNG NHÃN,37000.0
1228,613,Tàu Hủ Xôi dừa,30000.0
642,550,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
1189,550,Đậu hũ hoàng kim,95040.0
1559,550,Tai heo sốt trứ danh San Fu Lou,95040.0
1856,550,Bắp bò kiểu Quảng Đông,116640.0
316,550,Chả giò Quảng Đông,105840.0
1377,550,"Sườn heo hầm táo đỏ, xà lách xoong",105840.0
1138,550,Súp hải sản chua cay,95040.0
248,550,"Gà tiềm trúc xanh, nấm đông cô",105840.0
1664,550,Súp vi cá tiềm hải vị,419040.0
1238,550,Súp hải sản ngọc bích,95040.0
795,207,Cháo ếch (nhỏ),105840.0
1639,207,Cháo ếch (lớn),213840.0
612,207,Cháo ếch (vừa),181440.0
851,207,Cháo trắng thêm,32400.0
1361,207,Đậu bắp rang muối ớt,74520.0
1462,207,Nấm kim châm rang muối ớt,85320.0
1337,207,Nấm bào ngư rang muối ớt,85320.0
929,207,Rau nấm thập cẩm rang muối ớt,106920.0
637,207,Cà tím rang muối ớt,74520.0
1379,207,Nấm tay cầm,106920.0
690,614,Combo D,80000.0
626,614,Tàu hủ thập cẩm,22000.0
100,614,Tàu hủ bánh Flan,25000.0
1479,614,Tàu hủ thập cẩm mít,25000.0
159,614,Tàu Hủ Tả Pí Lù,30000.0
120,614,Tàu hủ phô mai,27000.0
1213,614,Tàu hủ phô mai đào,27000.0
1882,614,Tàu hũ ngũ sắc,22000.0
694,614,Tàu Hũ Truyền Thống,15000.0
1413,614,Tàu hủ ngũ sắc mít,25000.0
795,683,Cháo ếch (nhỏ),105840.0
612,683,Cháo ếch (vừa),181440.0
1639,683,Cháo ếch (lớn),213840.0
851,683,Cháo trắng thêm,32400.0
1361,683,Đậu bắp rang muối ớt,74520.0
1462,683,Nấm kim châm rang muối ớt,85320.0
1337,683,Nấm bào ngư rang muối ớt,85320.0
929,683,Rau nấm thập cẩm rang muối ớt,106920.0
1379,683,Nấm tay cầm,106920.0
637,683,Cà tím rang muối ớt,74520.0
642,475,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
1189,475,Đậu hũ hoàng kim,95040.0
1559,475,Tai heo sốt trứ danh San Fu Lou,95040.0
886,475,Cà tím gà xé sốt giấm ớt,95040.0
1138,475,Súp hải sản chua cay,95040.0
1377,475,"Sườn heo hầm táo đỏ, xà lách xoong",105840.0
248,475,"Gà tiềm trúc xanh, nấm đông cô",105840.0
1580,475,Vịt quay kiểu Hong Kong,203040.0
664,475,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",289440.0
1576,475,Xá xíu San Fu Lou,181440.0
367,322,YOGGURT DẺO TRUYỀN THỐNG,35000.0
517,322,YOGURT DẺO HẠT ĐÁC CHANH DÂY (hủ),47000.0
1280,322,YOGURT DẺO HẠT ĐÁC HOA HỒNG (Hủ),47000.0
1017,322,BÁNH FLAN CARAMEN,35000.0
1807,322,SỮA CHUA (chai),40000.0
932,322,BÁNH PLAN LÁ DỨA,35000.0
636,322,Tàu hủ tả pí lù,32000.0
224,322,Tàu hủ truyền thống,17000.0
626,322,Tàu hủ thập cẩm,25000.0
178,322,Tàu hủ bánh flan,27000.0
642,568,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
1189,568,Đậu hũ hoàng kim,95040.0
1559,568,Tai heo sốt trứ danh San Fu Lou,95040.0
1856,568,Bắp bò kiểu Quảng Đông,138240.0
886,568,Cà tím gà xé sốt giấm ớt,95040.0
1138,568,Súp hải sản chua cay,95040.0
245,568,"Sườn heo hầm táo đỏ, củ sen",105840.0
1580,568,Vịt quay kiểu Hong Kong,246240.0
664,568,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",343440.0
1576,568,Xá xíu San Fu Lou,181440.0
636,985,Tàu hủ tả pí lù,34000.0
224,985,Tàu hủ truyền thống,20000.0
626,985,Tàu hủ thập cẩm,27000.0
178,985,Tàu hủ bánh flan,27000.0
1479,985,Tàu hủ thập cẩm mít,29000.0
120,985,Tàu hủ phô mai,27000.0
1413,985,Tàu hủ ngũ sắc mít,27000.0
1882,985,Tàu hũ ngũ sắc,25000.0
1488,985,Tàu Hủ Xôi Dừa,32000.0
1843,985,TÀU DƯỠNG NHÃN,37000.0
1559,917,Tai heo sốt trứ danh San Fu Lou,95040.0
1856,917,Bắp bò kiểu Quảng Đông,116640.0
664,917,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",289440.0
1580,917,Vịt quay kiểu Hong Kong,203040.0
1576,917,Xá xíu San Fu Lou,181440.0
1700,917,Gà quay sả sốt mè,181440.0
1152,917,Chân gà hấp tàu xì,64800.0
53,917,Há cảo tôm sò điệp 3 pcs,73440.0
1834,917,"Xíu mại nấm hương thịt cua, trứng cá 3 pcs",62640.0
1672,917,"Xíu mại nấm hương thịt cua, trứng cá 6 pcs",105840.0
389,946,Bánh tráng nướng thập cẩm,16000.0
85,946,Nem chua nướng,13000.0
112,946,Bánh tráng nướng trứng,9000.0
947,946,Bánh tráng nướng trứng + ruốc,12000.0
135,946,Bánh tráng nướng trứng + tóp mỡ,15000.0
1492,946,Cút lộn xào me,22000.0
1437,946,Bánh tráng nướng trứng + nem,14000.0
1869,946,Chả cuốn,16000.0
1717,946,Bánh tráng nướng không trứng,8000.0
622,946,Bánh mỡ hành,12000.0
642,565,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
1559,565,Tai heo sốt trứ danh San Fu Lou,95040.0
1856,565,Bắp bò kiểu Quảng Đông,138240.0
666,565,Chả Giò Quảng Đông,95040.0
1580,565,Vịt quay kiểu Hong Kong,246240.0
664,565,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",343440.0
1576,565,Xá xíu San Fu Lou,181440.0
506,565,Ba rọi quay da giòn,203040.0
1700,565,Gà quay sả sốt mè,213840.0
1152,565,Chân gà hấp tàu xì,73440.0
228,1134,Caesar salad - salad sốt kem phô mai thịt xông khói,95000.0
132,1134,Súp kem nấm,80000.0
725,1134,Salad cá tầm sốt Fumo đặc biệt,109000.0
525,1134,Chicken nuggets salad - salad gà giòn sốt kem tỏi,95000.0
1848,1134,Apple salad - Salad Táo,95000.0
129,1134,Homemade Salted Salmon Salad - Salad cá hồi muối nhà làm,119000.0
347,1134,Classic Beef Burger - Burger Bò,125000.0
561,1134,Mexican flavored burger - Burger kiểu Mexico,135000.0
1431,1134,Chicken Burger - Burger fillet gà giòn,125000.0
922,1134,Four Cheese Pizza - Pizza Bốn Loại Phô Mai Ý,99000.0
1515,328,Kaju Katli (250g),148500.0
1607,328,Rasgulla (250g),88000.0
1223,328,Kesar Peda (250g),203500.0
1385,328,Besan Ladoo (250g),126500.0
912,328,Rasmalai (250g),148500.0
651,328,Besan Barfi (250g),132000.0
743,328,Balu Shahi (250g),203500.0
46,328,Chickpea sticks (100g),22000.0
105,328,Chickpea sticks (200g),44000.0
241,328,Veg Samosa,66000.0
1684,15,Bánh mì thịt nướng,32000.0
477,15,Bánh mì gà rim xé,29000.0
1076,15,Bánh mì thịt nướng + Nước sâm hạt é nha đam,52000.0
1029,15,Bánh Mì Gà Rim Xé + Nước sâm hạt é nha đam,49000.0
1216,15,Bánh Mì Thịt nướng + 2 Nước sâm hạt é nha đam,72000.0
1574,15,Bánh Mì Gà Rim Xé + 2 Nước sâm hạt é nha đam,69000.0
494,15,Nước sâm hạt é nha đam,20000.0
660,1197,Sốt San Fu Lou trứ danh,16200.0
927,1197,Sốt xanh chua cay,16200.0
1676,1197,Sốt tương đậu cay,16200.0
286,1197,Bắp bò Mỹ,73440.0
884,1197,Ba chỉ bò Mỹ,105840.0
1735,1197,Thịt chóp vai bò Mỹ,105840.0
1620,1197,Combo thượng hạng,213840.0
1394,1197,Gầu hoa bò Úc,105840.0
728,1197,Cổ bò Mỹ,170640.0
1438,1197,Ba chỉ heo,95040.0
1515,326,Kaju Katli (250g),148500.0
1223,326,Kesar Peda (250g),203500.0
1607,326,Rasgulla (250g),88000.0
651,326,Besan Barfi (250g),132000.0
1385,326,Besan Ladoo (250g),126500.0
743,326,Balu Shahi (250g),203500.0
241,326,Veg Samosa,66000.0
1633,326,Papadam (fried),24200.0
255,326,Masala Papad,44000.0
1753,326,Paneer Chilli,132000.0
1684,54,Bánh mì thịt nướng,32000.0
477,54,Bánh mì gà rim xé,29000.0
1076,54,Bánh mì thịt nướng + Nước sâm hạt é nha đam,52000.0
1029,54,Bánh Mì Gà Rim Xé + Nước sâm hạt é nha đam,49000.0
1216,54,Bánh Mì Thịt nướng + 2 Nước sâm hạt é nha đam,72000.0
1574,54,Bánh Mì Gà Rim Xé + 2 Nước sâm hạt é nha đam,69000.0
494,54,Nước sâm hạt é nha đam,20000.0
1282,880,Bông cải sốt nấm hương,95040.0
1270,880,Cải xào sốt bào ngư,95040.0
185,880,Cải bó xôi xào 3 loại trứng,95040.0
1150,880,Đậu que xào sốt tôm khô,95040.0
1559,880,Tai heo sốt trứ danh San Fu Lou,95040.0
1856,880,Bắp bò kiểu Quảng Đông,116640.0
1580,880,Vịt quay kiểu Hong Kong,203040.0
664,880,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",289440.0
1576,880,Xá xíu San Fu Lou,181440.0
506,880,Ba rọi quay da giòn,203040.0
330,392,Bánh cuốn cuộn tôm,84240.0
1219,392,Bánh bao phong sa,73440.0
326,392,Bánh bao xá xíu,62640.0
1865,392,Đậu hủ ki cuộn tôm thịt chiên,84240.0
1086,392,Sườn non hấp tàu xì,73440.0
1530,392,Bánh cuốn sốt tương X.O,84240.0
631,392,Mì khô xá xíu tương đen,95040.0
1272,392,Mì khô vịt quay sốt X.O,95040.0
1301,392,Mì khô sủi cảo tôm thịt sốt sa tế,95040.0
558,392,"Hoành thánh tôm thịt, giấm đen, dầu ớt",105840.0
1741,736,Bắp Xào,17000.0
1319,736,Cuốn chả cá,19000.0
85,736,Nem chua nướng,19000.0
914,736,Bắp xào,17000.0
787,736,YAOURT PHÔ MAI,15000.0
1634,736,Bánh Tráng Nướng Mắm Ruốc,17000.0
1396,736,Thịt Heo Xiên Que,20000.0
1345,736,Bò Cuộn Sả Cây,35000.0
308,736,Combo 5 Chén Trứng Nướng Pong Đặc Biệt,55000.0
149,736,Combo 5 Chén Mix ( 3 Chén Pong + 2 Chén Không),50000.0
546,1198,Đùi gà gạo lức sốt cari cay,385000.0
1391,1198,Đùi gà nướng bánh gạo cay với phô mai,315000.0
1411,1198,Đùi gà gạo lức sốt kem,175000.0
1137,1198,Đùi gà gạo lức sốt Tứ xuyên với rau củ,175000.0
348,1198,ĐÙI GÀ GẠO LỨC BỘT PHÔ MAI,185000.0
609,1198,Đùi gà nướng salad + khoai tây miếng,345000.0
1028,1198,Đùi gà gạo lức salad & khoai tây,355000.0
945,1198,Gà nướng phô mai tương ớt,175000.0
718,1198,Gà nướng sốt BBQ,170000.0
596,1198,Gà nướng truyền thống,155000.0
1489,746,Spaghetti gà nướng sốt kem,99000.0
67,746,Cơm đùi gà không xương,75000.0
1561,746,Cơm đùi gà không xương sốt Hàn Quốc,75000.0
880,746,Cơm đùi gà không xương sốt kem,75000.0
493,746,TOKGALBI CHICKEN,90000.0
1578,746,TOKBOKKI TRUYỀN THỐNG,65000.0
737,746,Mỳ gói Hàn Quốc,75000.0
1471,746,Khoai tây chiên,55000.0
232,746,Cơm Rong Biển,35000.0
1278,746,Salad,40000.0
1611,975,Beefsteak with pepper sauce,108000.0
1031,975,Beefsteak sốt bbq,108000.0
426,975,Lamb with bbq sauce,115000.0
356,975,Spaghetti bolognaise,87000.0
1792,975,Shaky beef,108000.0
998,975,Beefsteak with cheese slices,135000.0
268,975,Beefsteak sốt phô mai,108000.0
856,975,Spaghetti carbonara,90000.0
1891,975,Shaky ostrich with bbq sauce,108000.0
1840,975,Striploin steak( có gân và mỡ),160000.0
1319,442,Cuốn chả cá,17000.0
1719,442,Bánh tráng nướng Pong,15000.0
1565,1086,Sườn rang tỏi oliu + 01 Sapporo,227700.0
