,rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link,Location,Cate,rest_id
0,Ốc Diệu,"26/50/52 Đỗ Quang Đẩu, Quận 1, TP. HCM",12:30 - 21:00,30.000 - 60.000,6.7,7.8,7.4,7.2,5.8,5.4,https://www.foody.vn/ho-chi-minh/oc-dieu,TPHCM,An Vat Via He,889
1,Bánh Mì PewPew - Út Tịch,"66 Út Tịch, P. 4, Quận Tân Bình, TP. HCM",06:00 - 23:00,20.000 - 30.000,6.7,6.7,6.5,6.7,6.7,6.7,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew,TPHCM,An Vat Via He,223
2,Baoz Dimsum Restaurant - Nguyễn Tri Phương,"88 Nguyễn Tri Phương, P. 7, Quận 5, TP. HCM",06:30 - 22:45,50.000 - 200.000,7.0,7.3,7.0,6.5,7.3,7.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-resraurant,TPHCM,Nha Hang,832
3,Bánh Mì PewPew - Đường D5,"84 Đường D5, P. 25, Quận Bình Thạnh, TP. HCM",06:00 - 21:30,20.000 - 30.000,,6.0,5.7,5.9,6.0,6.2,https://www.foody.vn/ho-chi-minh/banh-mi-pewpew-duong-d5,TPHCM,An Vat Via He,1160
4,Baoz Dimsum Restaurant - The Garden Mall,"Tầng Trệt,  Tầng Trệt The Garden Mall, 190 Hồng Bàng, P. 12, Quận 5, TP. HCM",09:00 - 23:00,50.000 - 200.000,6.7,6.9,6.7,6.1,6.7,7.1,https://www.foody.vn/ho-chi-minh/baoz-dimsum-restaurant-the-garden-mall,TPHCM,Nha Hang,627
5,A Tùng - Bánh Mì Bò Nướng Bơ Cambodia - Cống Quỳnh,"171 Cống Quỳnh, Quận 1, TP. HCM",14:00 - 21:00,5.000 - 15.000,7.4,7.8,7.8,7.5,6.7,7.1,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh,TPHCM,An Vat Via He,215
6,Baoz Dimsum Restaurant - Lê Đại Hành,"299 Lê Đại Hành, P. 13, Quận 11, TP. HCM",07:00 - 21:00,50.000 - 200.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/baoz-dimsum-restaurant-le-dai-hanh,TPHCM,Nha Hang,992
7,Buzza Pizza - Nguyễn Thị Thập,"Tầng 1,  Tầng 1, 51 - 53 Nguyễn Thị Thập, P. Tân Hưng, Quận 7, TP. HCM",10:00 - 21:00,49.000 - 159.000,8.0,8.1,7.8,8.0,8.0,8.1,https://www.foody.vn/ho-chi-minh/buzza-pizza-nguyen-thi-thap,TPHCM,Nha Hang,127
8,A Tùng - Bánh Mì Bò Nướng Bơ Cambodia - Lê Hồng Phong,"837 Lê Hồng Phong, P. 12, Quận 10, TP. HCM",09:00 - 22:30,5.000 - 15.000,6.3,6.5,6.5,6.2,5.9,6.2,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong,TPHCM,An Vat Via He,419
9,San Fu Lou - Ẩm Thực Quảng Đông - Lê Lai,"Tầng Trệt, AB Tower, 76A Lê Lai, P. Bến Thành, Quận 1, TP. HCM",07:00 - 03:00,30.000 - 190.000,7.8,7.9,6.9,7.8,8.2,8.3,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou,TPHCM,Nha Hang,815
10,San Fu Lou - Ẩm Thực Quảng Đông - Lê Lai,"Tầng Trệt, AB Tower, 76A Lê Lai, P. Bến Thành, Quận 1, TP. HCM",07:00 - 03:00,30.000 - 190.000,7.8,7.9,6.9,7.8,8.2,8.3,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou,TPHCM,Sang Trong,815
11,San Fu Lou - Ẩm Thực Quảng Đông - Lê Lai,"Tầng Trệt, AB Tower, 76A Lê Lai, P. Bến Thành, Quận 1, TP. HCM",07:00 - 03:00,30.000 - 190.000,7.8,7.9,6.9,7.8,8.2,8.3,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou,TPHCM,Nha Hang,815
12,San Fu Lou - Ẩm Thực Quảng Đông - Lê Lai,"Tầng Trệt, AB Tower, 76A Lê Lai, P. Bến Thành, Quận 1, TP. HCM",07:00 - 03:00,30.000 - 190.000,7.8,7.9,6.9,7.8,8.2,8.3,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou,TPHCM,Sang Trong,815
13,Buzza Pizza - Nowzone,"Tầng 4,  Tầng 4 Nowzone, 235 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",10:30 - 21:00,49.000 - 159.000,7.2,7.2,7.0,7.0,7.5,7.3,https://www.foody.vn/ho-chi-minh/buzza-pizza-nowzone,TPHCM,Nha Hang,829
14,Tàu Hủ Xe Lam - Phùng Văn Cung,"70 Phùng Văn Cung, P. 7, Quận Phú Nhuận, TP. HCM",12:00 - 23:00,17.000 - 25.000,6.9,7.3,7.3,7.0,6.4,6.7,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam,TPHCM,An Vat Via He,1176
15,San Fu Lou - Ẩm Thực Quảng Đông - Phan Xích Long,"195 - 197 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",07:00 - 21:30,30.000 - 190.000,7.4,7.5,6.5,7.4,7.9,7.9,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long,TPHCM,Nha Hang,353
16,San Fu Lou - Ẩm Thực Quảng Đông - Phan Xích Long,"195 - 197 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",07:00 - 21:30,30.000 - 190.000,7.4,7.5,6.5,7.4,7.9,7.9,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long,TPHCM,Sang Trong,353
17,San Fu Lou - Ẩm Thực Quảng Đông - Phan Xích Long,"195 - 197 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",07:00 - 21:30,30.000 - 190.000,7.4,7.5,6.5,7.4,7.9,7.9,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long,TPHCM,Nha Hang,353
18,San Fu Lou - Ẩm Thực Quảng Đông - Phan Xích Long,"195 - 197 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",07:00 - 21:30,30.000 - 190.000,7.4,7.5,6.5,7.4,7.9,7.9,https://www.foody.vn/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long,TPHCM,Sang Trong,353
19,Ếch Xanh - Nguyễn Cảnh Chân,"371D Nguyễn Cảnh Chân, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",10:00 - 23:00,80.000 - 330.000,6.5,7.1,6.5,6.0,6.0,6.8,https://www.foody.vn/ho-chi-minh/ech-xanh,TPHCM,Nha Hang,183
20,Tàu Hủ Xe Lam - Bửu Long,"B1B Bửu Long, P.15, Quận 10, TP. HCM",11:00 - 20:30,10.000 - 25.000,6.8,6.7,7.0,6.6,6.7,7.2,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-buu-long,TPHCM,An Vat Via He,762
21,San Fu Lou - Ẩm Thực Quảng Đông - Cao Thắng,"2A Cao Thắng, P. 5, Quận 3, TP. HCM",07:45 - 22:00,30.000 - 190.000,7.6,7.7,6.9,7.7,7.9,7.9,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang,TPHCM,Nha Hang,924
22,San Fu Lou - Ẩm Thực Quảng Đông - Cao Thắng,"2A Cao Thắng, P. 5, Quận 3, TP. HCM",07:45 - 22:00,30.000 - 190.000,7.6,7.7,6.9,7.7,7.9,7.9,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang,TPHCM,Sang Trong,924
23,San Fu Lou - Ẩm Thực Quảng Đông - Cao Thắng,"2A Cao Thắng, P. 5, Quận 3, TP. HCM",07:45 - 22:00,30.000 - 190.000,7.6,7.7,6.9,7.7,7.9,7.9,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang,TPHCM,Nha Hang,924
24,San Fu Lou - Ẩm Thực Quảng Đông - Cao Thắng,"2A Cao Thắng, P. 5, Quận 3, TP. HCM",07:45 - 22:00,30.000 - 190.000,7.6,7.7,6.9,7.7,7.9,7.9,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-cao-thang,TPHCM,Sang Trong,924
25,Ếch Xanh - Hồ Xuân Hương,"55A Hồ Xuân Hương, P. Võ Thị Sáu, Quận 3, TP. HCM",10:30 - 22:00,100.000 - 330.000,6.8,7.4,6.7,6.1,6.5,7.2,https://www.foody.vn/ho-chi-minh/ech-xanh-ho-xuan-huong,TPHCM,Nha Hang,978
26,Tàu Hủ Xe Lam - Trần Hưng Đạo,"459/13 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",08:00 - 23:00,10.000 - 28.000,7.3,7.2,7.4,7.2,7.1,7.4,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-tran-hung-dao,TPHCM,An Vat Via He,35
27,San Fu Lou - Ẩm Thực Quảng Đông - Crescent Mall,"Tầng Trệt,  Tầng Trệt Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",07:00 - 22:00,30.000 - 190.000,7.1,7.5,6.4,6.9,7.3,7.6,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall,TPHCM,Nha Hang,29
28,San Fu Lou - Ẩm Thực Quảng Đông - Crescent Mall,"Tầng Trệt,  Tầng Trệt Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",07:00 - 22:00,30.000 - 190.000,7.1,7.5,6.4,6.9,7.3,7.6,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall,TPHCM,Sang Trong,29
29,San Fu Lou - Ẩm Thực Quảng Đông - Crescent Mall,"Tầng Trệt,  Tầng Trệt Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",07:00 - 22:00,30.000 - 190.000,7.1,7.5,6.4,6.9,7.3,7.6,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall,TPHCM,Nha Hang,29
30,San Fu Lou - Ẩm Thực Quảng Đông - Crescent Mall,"Tầng Trệt,  Tầng Trệt Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",07:00 - 22:00,30.000 - 190.000,7.1,7.5,6.4,6.9,7.3,7.6,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-trung-hoa-crescent-mall,TPHCM,Sang Trong,29
31,Ếch Xanh - Song Hành,"59 Song Hành, P. An Phú, Tp. Thủ Đức, TP. HCM",10:00 - 22:00,60.000 - 200.000,,6.1,5.7,5.6,6.2,6.0,https://www.foody.vn/ho-chi-minh/ech-xanh-song-hanh,TPHCM,Nha Hang,1097
32,Tàu Hủ Xe Lam - Crescent Mall,"Tầng 3,  Tầng 3, Quầy 39 Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",11:00 - 22:00,10.000 - 28.000,7.5,7.2,7.8,6.4,7.9,8.1,https://www.foody.vn/ho-chi-minh/tau-hu-xe-lam-crescent-mall,TPHCM,An Vat Via He,129
33,San Fu Lou - Ẩm Thực Quảng Đông - Vincom Center,"Tầng Hầm 3,  Tầng B3 Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 22:00,30.000 - 190.000,7.4,7.9,6.9,7.7,7.4,7.3,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center,TPHCM,Nha Hang,283
34,San Fu Lou - Ẩm Thực Quảng Đông - Vincom Center,"Tầng Hầm 3,  Tầng B3 Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 22:00,30.000 - 190.000,7.4,7.9,6.9,7.7,7.4,7.3,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center,TPHCM,Sang Trong,283
35,San Fu Lou - Ẩm Thực Quảng Đông - Vincom Center,"Tầng Hầm 3,  Tầng B3 Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 22:00,30.000 - 190.000,7.4,7.9,6.9,7.7,7.4,7.3,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center,TPHCM,Nha Hang,283
36,San Fu Lou - Ẩm Thực Quảng Đông - Vincom Center,"Tầng Hầm 3,  Tầng B3 Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 22:00,30.000 - 190.000,7.4,7.9,6.9,7.7,7.4,7.3,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center,TPHCM,Sang Trong,283
37,Seoul Garden Vincom B,"Tầng Hầm 3,  B3-16A, Tầng B3, Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 21:15,300.000 - 440.000,7.1,7.1,6.6,7.2,7.2,7.7,https://www.foody.vn/ho-chi-minh/seoul-garden-vincom-b,TPHCM,Buffet,979
38,Seoul Garden Vincom B,"Tầng Hầm 3,  B3-16A, Tầng B3, Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 21:15,300.000 - 440.000,7.1,7.1,6.6,7.2,7.2,7.7,https://www.foody.vn/ho-chi-minh/seoul-garden-vincom-b,TPHCM,Nha Hang,979
39,Seoul Garden Vincom B,"Tầng Hầm 3,  B3-16A, Tầng B3, Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 21:15,300.000 - 440.000,7.1,7.1,6.6,7.2,7.2,7.7,https://www.foody.vn/ho-chi-minh/seoul-garden-vincom-b,TPHCM,Buffet,979
40,Seoul Garden Vincom B,"Tầng Hầm 3,  B3-16A, Tầng B3, Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 21:15,300.000 - 440.000,7.1,7.1,6.6,7.2,7.2,7.7,https://www.foody.vn/ho-chi-minh/seoul-garden-vincom-b,TPHCM,Nha Hang,979
41,Nhi Nhi Quán - Đặc Sản Phan Rang,"164 Đường 20, P. 5, Quận Gò Vấp, TP. HCM",15:30 - 22:30,6.000 - 14.000,7.1,7.3,7.6,7.0,6.7,6.7,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-dac-san-phan-rang,TPHCM,An Vat Via He,863
42,San Fu Lou - Ẩm Thực Quảng Đông - Quang Trung,"1 Quang Trung, P. 3, Quận Gò Vấp, TP. HCM",11:00 - 22:00,45.000 - 250.000,7.3,7.3,7.3,6.7,7.0,8.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung,TPHCM,Nha Hang,279
43,San Fu Lou - Ẩm Thực Quảng Đông - Quang Trung,"1 Quang Trung, P. 3, Quận Gò Vấp, TP. HCM",11:00 - 22:00,45.000 - 250.000,7.3,7.3,7.3,6.7,7.0,8.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung,TPHCM,Sang Trong,279
44,San Fu Lou - Ẩm Thực Quảng Đông - Quang Trung,"1 Quang Trung, P. 3, Quận Gò Vấp, TP. HCM",11:00 - 22:00,45.000 - 250.000,7.3,7.3,7.3,6.7,7.0,8.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung,TPHCM,Nha Hang,279
45,San Fu Lou - Ẩm Thực Quảng Đông - Quang Trung,"1 Quang Trung, P. 3, Quận Gò Vấp, TP. HCM",11:00 - 22:00,45.000 - 250.000,7.3,7.3,7.3,6.7,7.0,8.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung,TPHCM,Sang Trong,279
46,Seoul Garden AEON Mall Bình Tân,"Tầng 3,  Lô T23, Tầng 3, Aeon Mall Bình Tân,1 Đường Số 17A, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",10:00 - 21:15,250.000 - 440.000,6.8,6.7,6.4,7.2,6.5,7.5,https://www.foody.vn/ho-chi-minh/seoul-garden-buffet-lau-nuong-aeon-mall-binh-tan,TPHCM,Buffet,565
47,Seoul Garden AEON Mall Bình Tân,"Tầng 3,  Lô T23, Tầng 3, Aeon Mall Bình Tân,1 Đường Số 17A, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",10:00 - 21:15,250.000 - 440.000,6.8,6.7,6.4,7.2,6.5,7.5,https://www.foody.vn/ho-chi-minh/seoul-garden-buffet-lau-nuong-aeon-mall-binh-tan,TPHCM,Nha Hang,565
48,Seoul Garden AEON Mall Bình Tân,"Tầng 3,  Lô T23, Tầng 3, Aeon Mall Bình Tân,1 Đường Số 17A, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",10:00 - 21:15,250.000 - 440.000,6.8,6.7,6.4,7.2,6.5,7.5,https://www.foody.vn/ho-chi-minh/seoul-garden-buffet-lau-nuong-aeon-mall-binh-tan,TPHCM,Buffet,565
49,Seoul Garden AEON Mall Bình Tân,"Tầng 3,  Lô T23, Tầng 3, Aeon Mall Bình Tân,1 Đường Số 17A, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",10:00 - 21:15,250.000 - 440.000,6.8,6.7,6.4,7.2,6.5,7.5,https://www.foody.vn/ho-chi-minh/seoul-garden-buffet-lau-nuong-aeon-mall-binh-tan,TPHCM,Nha Hang,565
50,Nhi Nhi Quán 2 - Đặc Sản Phan Rang,"40/47 Lê Thị Hồng, P. 17, Quận Gò Vấp, TP. HCM",16:00 - 22:30,6.000 - 45.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-2-dac-san-phan-rang,TPHCM,An Vat Via He,343
51,Nhi Nhi Quán - Đặc Sản Phan Rang - Đường Số 20,"164 Đường Số 20, P. 5, Quận Gò Vấp, TP. HCM",16:30 - 23:00,6.000 - 14.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-dac-san-phan-rang-duong-so-20,TPHCM,An Vat Via He,209
52,Seoul Garden Vạn Hạnh Mall,"Tầng 5,  Tầng 5, 11 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",10:00 - 21:15,250.000 - 440.000,7.6,7.3,6.8,8.0,7.8,8.1,https://www.foody.vn/ho-chi-minh/seoul-garden-van-hanh-mall,TPHCM,Buffet,608
53,Seoul Garden Vạn Hạnh Mall,"Tầng 5,  Tầng 5, 11 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",10:00 - 21:15,250.000 - 440.000,7.6,7.3,6.8,8.0,7.8,8.1,https://www.foody.vn/ho-chi-minh/seoul-garden-van-hanh-mall,TPHCM,Nha Hang,608
54,Seoul Garden Vạn Hạnh Mall,"Tầng 5,  Tầng 5, 11 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",10:00 - 21:15,250.000 - 440.000,7.6,7.3,6.8,8.0,7.8,8.1,https://www.foody.vn/ho-chi-minh/seoul-garden-van-hanh-mall,TPHCM,Buffet,608
55,Seoul Garden Vạn Hạnh Mall,"Tầng 5,  Tầng 5, 11 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",10:00 - 21:15,250.000 - 440.000,7.6,7.3,6.8,8.0,7.8,8.1,https://www.foody.vn/ho-chi-minh/seoul-garden-van-hanh-mall,TPHCM,Nha Hang,608
56,San Fu Lou - Song Hành,"40 Song Hành, P. An Phú, Tp. Thủ Đức, TP. HCM",07:00 - 21:30,30.000 - 190.000,6.4,6.8,6.0,5.3,6.5,7.3,https://www.foody.vn/ho-chi-minh/san-fu-lou-song-hanh,TPHCM,Nha Hang,776
57,San Fu Lou - Song Hành,"40 Song Hành, P. An Phú, Tp. Thủ Đức, TP. HCM",07:00 - 21:30,30.000 - 190.000,6.4,6.8,6.0,5.3,6.5,7.3,https://www.foody.vn/ho-chi-minh/san-fu-lou-song-hanh,TPHCM,Sang Trong,776
58,San Fu Lou - Song Hành,"40 Song Hành, P. An Phú, Tp. Thủ Đức, TP. HCM",07:00 - 21:30,30.000 - 190.000,6.4,6.8,6.0,5.3,6.5,7.3,https://www.foody.vn/ho-chi-minh/san-fu-lou-song-hanh,TPHCM,Nha Hang,776
59,San Fu Lou - Song Hành,"40 Song Hành, P. An Phú, Tp. Thủ Đức, TP. HCM",07:00 - 21:30,30.000 - 190.000,6.4,6.8,6.0,5.3,6.5,7.3,https://www.foody.vn/ho-chi-minh/san-fu-lou-song-hanh,TPHCM,Sang Trong,776
60,Bánh Mì Chim Chạy - Thịt Nướng Than,"Cổng Chính Chợ Thái Bình, P. Phạm Ngũ Lão, Quận 1, TP. HCM",17:00 - 23:30,17.000 - 20.000,7.8,8.4,7.9,7.9,7.1,7.6,https://www.foody.vn/ho-chi-minh/banh-mi-chim-chay,TPHCM,An Vat Via He,1163
61,Seoul Garden Lotte Mart Quận 7,"Tầng 3,  Lô 03F, Tầng 3, TTTM Lotte Mart Nam Sài Gòn, 469 Nguyễn Hữu Thọ, P. Tân Hưng, Quận 7, TP. HCM",10:00 - 21:15,300.000 - 440.000,7.5,6.7,6.7,8.0,8.0,8.3,https://www.foody.vn/ho-chi-minh/seoul-garden-lotte-mart-quan-7,TPHCM,Buffet,679
62,Seoul Garden Lotte Mart Quận 7,"Tầng 3,  Lô 03F, Tầng 3, TTTM Lotte Mart Nam Sài Gòn, 469 Nguyễn Hữu Thọ, P. Tân Hưng, Quận 7, TP. HCM",10:00 - 21:15,300.000 - 440.000,7.5,6.7,6.7,8.0,8.0,8.3,https://www.foody.vn/ho-chi-minh/seoul-garden-lotte-mart-quan-7,TPHCM,Nha Hang,679
63,Seoul Garden Lotte Mart Quận 7,"Tầng 3,  Lô 03F, Tầng 3, TTTM Lotte Mart Nam Sài Gòn, 469 Nguyễn Hữu Thọ, P. Tân Hưng, Quận 7, TP. HCM",10:00 - 21:15,300.000 - 440.000,7.5,6.7,6.7,8.0,8.0,8.3,https://www.foody.vn/ho-chi-minh/seoul-garden-lotte-mart-quan-7,TPHCM,Buffet,679
64,Seoul Garden Lotte Mart Quận 7,"Tầng 3,  Lô 03F, Tầng 3, TTTM Lotte Mart Nam Sài Gòn, 469 Nguyễn Hữu Thọ, P. Tân Hưng, Quận 7, TP. HCM",10:00 - 21:15,300.000 - 440.000,7.5,6.7,6.7,8.0,8.0,8.3,https://www.foody.vn/ho-chi-minh/seoul-garden-lotte-mart-quan-7,TPHCM,Nha Hang,679
65,San Fu Lou - Dimsum & Hotpot - Song Hành,"40 Song Hành, KĐT. An Phú, P. An Phú, Tp. Thủ Đức, TP. HCM",07:00 - 10:00,30.000 - 190.000,,1.0,1.0,1.0,3.0,4.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-dimsum-hotpot-song-hanh,TPHCM,Nha Hang,531
66,San Fu Lou - Dimsum & Hotpot - Song Hành,"40 Song Hành, KĐT. An Phú, P. An Phú, Tp. Thủ Đức, TP. HCM",07:00 - 10:00,30.000 - 190.000,,1.0,1.0,1.0,3.0,4.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-dimsum-hotpot-song-hanh,TPHCM,Sang Trong,531
67,San Fu Lou - Dimsum & Hotpot - Song Hành,"40 Song Hành, KĐT. An Phú, P. An Phú, Tp. Thủ Đức, TP. HCM",07:00 - 10:00,30.000 - 190.000,,1.0,1.0,1.0,3.0,4.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-dimsum-hotpot-song-hanh,TPHCM,Nha Hang,531
68,San Fu Lou - Dimsum & Hotpot - Song Hành,"40 Song Hành, KĐT. An Phú, P. An Phú, Tp. Thủ Đức, TP. HCM",07:00 - 10:00,30.000 - 190.000,,1.0,1.0,1.0,3.0,4.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-dimsum-hotpot-song-hanh,TPHCM,Sang Trong,531
69,Bánh Mì Chim Chạy - Nguyễn Thị Minh Khai,"147D Nguyễn Thị Minh Khai, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:00 - 20:00,15.000 - 30.000,6.8,7.0,6.5,7.7,6.2,6.7,https://www.foody.vn/ho-chi-minh/banh-mi-chim-chay-nguyen-thi-minh-khai,TPHCM,An Vat Via He,534
70,Seoul Garden 208,"Tầng 1,  208 Nam Kỳ Khởi Nghĩa, P. 6, Quận 3, TP. HCM",10:00 - 21:15,239.000 - 239.000,,5.0,5.7,5.5,6.0,6.7,https://www.foody.vn/ho-chi-minh/seoul-garden-208,TPHCM,Buffet,485
71,Seoul Garden 208,"Tầng 1,  208 Nam Kỳ Khởi Nghĩa, P. 6, Quận 3, TP. HCM",10:00 - 21:15,239.000 - 239.000,,5.0,5.7,5.5,6.0,6.7,https://www.foody.vn/ho-chi-minh/seoul-garden-208,TPHCM,Nha Hang,485
72,Seoul Garden 208,"Tầng 1,  208 Nam Kỳ Khởi Nghĩa, P. 6, Quận 3, TP. HCM",10:00 - 21:15,239.000 - 239.000,,5.0,5.7,5.5,6.0,6.7,https://www.foody.vn/ho-chi-minh/seoul-garden-208,TPHCM,Buffet,485
73,Seoul Garden 208,"Tầng 1,  208 Nam Kỳ Khởi Nghĩa, P. 6, Quận 3, TP. HCM",10:00 - 21:15,239.000 - 239.000,,5.0,5.7,5.5,6.0,6.7,https://www.foody.vn/ho-chi-minh/seoul-garden-208,TPHCM,Nha Hang,485
74,San Fu Lou - Ẩm Thực Quảng Đông - Trường Sơn,"18A Trường Sơn, P. 2, Quận Tân Bình, TP. HCM",10:00 - 22:00,30.000 - 190.000,8.8,8.0,6.5,10.0,9.5,10.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-truong-son,TPHCM,Nha Hang,612
75,San Fu Lou - Ẩm Thực Quảng Đông - Trường Sơn,"18A Trường Sơn, P. 2, Quận Tân Bình, TP. HCM",10:00 - 22:00,30.000 - 190.000,8.8,8.0,6.5,10.0,9.5,10.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-truong-son,TPHCM,Sang Trong,612
76,San Fu Lou - Ẩm Thực Quảng Đông - Trường Sơn,"18A Trường Sơn, P. 2, Quận Tân Bình, TP. HCM",10:00 - 22:00,30.000 - 190.000,8.8,8.0,6.5,10.0,9.5,10.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-truong-son,TPHCM,Nha Hang,612
77,San Fu Lou - Ẩm Thực Quảng Đông - Trường Sơn,"18A Trường Sơn, P. 2, Quận Tân Bình, TP. HCM",10:00 - 22:00,30.000 - 190.000,8.8,8.0,6.5,10.0,9.5,10.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-truong-son,TPHCM,Sang Trong,612
78,San Fu Lou - Ẩm Thực Quảng Đông - Mplaza,"Tầng B1 Mplaza, 39 Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM",09:00 - 21:00,30.000 - 190.000,9.0,10.0,7.0,10.0,10.0,8.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-mplaza,TPHCM,Nha Hang,1077
79,San Fu Lou - Ẩm Thực Quảng Đông - Mplaza,"Tầng B1 Mplaza, 39 Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM",09:00 - 21:00,30.000 - 190.000,9.0,10.0,7.0,10.0,10.0,8.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-mplaza,TPHCM,Sang Trong,1077
