,rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link,Location,Cate,rest_id
943,Gogi House - Quán Nướng Hàn Quốc - Lotte Mart Gò Vấp,"Lotte Mart Gò Vấp, 242 Nguyễn Văn Lượng, P. 10, Quận Gò Vấp, TP. HCM",11:00 - 22:00,300.000 - 500.000,8.9,9.0,8.8,8.8,8.9,9.1,https://www.foody.vn/ho-chi-minh/gogi-house-quan-nuong-han-quoc-lotte-mart-go-vap,TPHCM,Nha Hang,493
944,Lâm 90 - Sữa Chua Nếp Cẩm - Đường A4,"49 Đường A4, P. 12, Quận Tân Bình, TP. HCM",08:00 - 18:30,10.000 - 20.000,7.9,8.0,8.0,8.0,7.6,8.1,https://www.foody.vn/ho-chi-minh/lam-90-sua-chua-nep-cam,TPHCM,An Vat Via He,452
945,Urbane Lounge - Pullman Hotel,"Tầng Trệt, Pullman Hotel, 148 Trần Hưng Đạo, Quận 1, TP. HCM",08:30 - 23:30,300.000 - 880.000,7.6,7.7,6.6,7.7,8.3,7.9,https://www.foody.vn/ho-chi-minh/urbane-lounge-pullman-hotel,TPHCM,Nha Hang,1151
946,Gogi House - Quán Nướng Hàn Quốc - Saigon Centre,"Saigon Centre, 65 Lê Lợi, P. Bến Nghé, Quận 1, TP. HCM",09:00 - 22:00,300.000 - 500.000,8.5,8.6,8.2,8.4,8.5,8.7,https://www.foody.vn/ho-chi-minh/gogi-house-quan-nuong-han-quoc-saigon-centre,TPHCM,Nha Hang,659
947,Lâm 90 - Sữa Chua Nếp Cẩm - Thân Nhân Trung,"79 Thân Nhân Trung, P. 13, Quận Tân Bình, TP. HCM",08:00 - 23:00,17.000 - 23.000,8.0,8.0,8.0,8.0,8.0,8.0,https://www.foody.vn/ho-chi-minh/lam-90-sua-chua-nep-cam-nhat-chi-mai,TPHCM,An Vat Via He,844
948,Pool Bar - Pullman Hotel,"148 Trần Hưng Đạo, Quận 1, TP. HCM",15:30 - 22:00,500.000 - 1.100.000,8.6,9.5,7.0,9.5,9.5,7.5,https://www.foody.vn/ho-chi-minh/pool-bar-pullman-hotel,TPHCM,Nha Hang,364
949,Meat & Meet Korean BBQ Container - Lê Thị Riêng,"8 Lê Thị Riêng, P. Bến Thành, Quận 1, TP. HCM",11:00 - 22:00,60.000 - 300.000,7.5,7.5,7.2,7.4,7.5,7.7,https://www.foody.vn/ho-chi-minh/meat-meet-bbq-container,TPHCM,Nha Hang,1030
950,Lâm 90 - Sữa Chua Nếp Cẩm - Tây Thạnh,"148 Tây Thạnh, P. Tây Thạnh, Quận Tân Phú, TP. HCM",08:00 - 22:00,17.000 - 23.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/lam-90-sua-chua-nep-cam-tay-thanh,TPHCM,An Vat Via He,1198
951,Mad Cow Wine & Grill,"Leval 30, 148 Trần Hưng Đạo, Quận 1, TP. HCM",16:00 - 23:59,120.000 - 1.300.000,7.4,7.5,6.5,8.0,7.8,7.3,https://www.foody.vn/ho-chi-minh/mad-cow-wine-grill,TPHCM,Nha Hang,394
952,Đậu Hủ Thúi 84,"84 Đường Số 9, P. 8, Quận 11, TP. HCM",13:00 - 21:00,15.000 - 25.000,6.9,7.0,7.1,7.1,6.3,6.8,https://www.foody.vn/ho-chi-minh/dau-hu-thui-84,TPHCM,An Vat Via He,201
