rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link
Cô Năm - Bánh Tráng Trộn - Điện Biên Phủ,"604A Điện Biên Phủ, P. 22, Quận Bình Thạnh, TP. HCM",06:00 - 22:00,15.000 - 15.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/co-nam-banh-trang-tron-dien-bien-phu
Hotto - Món Ngon Trên Đĩa Nóng - Big C Thăng Long,"Tầng 1,  Tầng 1, TTTM Big C Thăng Long, 222 Trần Duy Hưng, P. Trung Hòa, Quận Cầu Giấy, Hà Nội",10:00 - 20:30,80.000 - 150.000,6.2,6.5,5.8,5.9,6.3,6.6,https://www.foody.vn/ha-noi/hotto-mon-ngon-tren-dia-nong-big-c-thang-long
Cu Sữa - Hot Dog,"59 Nguyễn Du, P. Bến Nghé, Quận 1, TP. HCM",10:30 - 22:00,10.000 - 20.000,6.5,6.8,7.1,6.3,5.7,6.5,https://www.foody.vn/ho-chi-minh/cu-sua-hot-dog
Hotto - Món Ngon Trên Đĩa Nóng - Vincom Skylake,"L36-07 Tầng 3 Vincom Skylake Phạm Hùng, Quận Nam Từ Liêm, Hà Nội",10:00 - 20:30,50.000 - 100.000,_._,--,--,--,--,--,https://www.foody.vn/ha-noi/hotto-mon-ngon-tren-dia-nong-vincom-skylake
Asiana Food Town - Chợ Ẩm Thực Dưới Lòng Đất,"Tầng Hầm Khu B, Công Viên 23 Tháng 9, P. Phạm Ngũ Lão, Quận 1, TP. HCM",10:00 - 22:00,20.000 - 300.000,7.7,7.6,7.2,7.7,7.9,8.1,https://www.foody.vn/ho-chi-minh/asiana-food-town-khu-am-thuc-chau-a
Hotto - Món Ngon Trên Đĩa Nóng - Vincom Trần Duy Hưng,"Tầng 5 Vincom Center Trần Duy Hưng, 119 Trần Duy Hưng, P. Trung Hòa, Quận Cầu Giấy, Hà Nội",09:00 - 21:30,50.000 - 100.000,,4.5,5.5,3.5,6.0,6.0,https://www.foody.vn/ha-noi/hotto-mon-ngon-tren-dia-nong-vincom-tran-duy-hung
Cu Sữa - Tré Trộn,"59 Nguyễn Du, P. Bến Nghé, Quận 1, TP. HCM",00:01 - 01:00 | 10:00 - 23:59,20.000 - 50.000,6.7,7.2,6.8,6.5,6.0,6.8,https://www.foody.vn/ho-chi-minh/cu-sua-tre-tron
HOTTO - Món Ngon Trên Đĩa Nóng - The Garden,"Tầng G, TTTM The Garden Mễ, Đường Mễ Trì, P. Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",11:00 - 21:00,80.000 - 120.000,_._,--,--,--,--,--,https://www.foody.vn/ha-noi/hotto-mon-ngon-tren-dia-nong-the-garden
Lâm 90 - Sữa Chua Nếp Cẩm - Đường A4,"49 Đường A4, P. 12, Quận Tân Bình, TP. HCM",08:00 - 18:30,10.000 - 20.000,7.9,8.0,8.0,8.0,7.6,8.1,https://www.foody.vn/ho-chi-minh/lam-90-sua-chua-nep-cam
Asiana Food Town - Rừng Ẩm Thực Châu Á,"Tầng 3,  Tầng 3 TTTM Sense City Phạm Văn Đồng (Gigamall), 240 - 242 Phạm Văn Đồng, P. Hiệp Bình Chánh, Tp. Thủ Đức, TP. HCM",10:00 - 22:00,15.000 - 200.000,8.3,8.8,8.1,8.1,8.6,8.1,https://www.foody.vn/ho-chi-minh/asiana-food-town-rung-am-thuc-chau-a
HOTTO - Món Ngon Trên Đĩa Nóng - AEON Mall Hà Đông,"Tầng 2 Lô 57 TTTM Aeon Mall Hà Đông, P. Dương Nội, Quận Hà Đông, Hà Nội",10:00 - 20:30,80.000 - 120.000,_._,--,--,--,--,--,https://www.foody.vn/ha-noi/hotto-mon-ngon-tren-dia-nong-aeon-mall-ha-dong
Lâm 90 - Sữa Chua Nếp Cẩm - Thân Nhân Trung,"79 Thân Nhân Trung, P. 13, Quận Tân Bình, TP. HCM",08:00 - 23:00,17.000 - 23.000,8.0,8.0,8.0,8.0,8.0,8.0,https://www.foody.vn/ho-chi-minh/lam-90-sua-chua-nep-cam-nhat-chi-mai
Khap Khap - Xiên Que Nhúng - Hồ Thị Kỷ,"105F Hồ Thị Kỷ, P. 1, Quận 10, TP. HCM",14:00 - 21:30,15.000 - 79.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/khap-khap-xien-que-nhung-ho-thi-ky
King BBQ - Vua Nướng Hàn Quốc - Hoàng Đạo Thúy,"24T2 Hoàng Đạo Thúy, P. Trung Hòa, Quận Cầu Giấy, Hà Nội",08:00 - 23:00,200.000 - 440.000,6.7,7.2,6.1,6.2,6.9,7.0,https://www.foody.vn/ha-noi/king-bbq
