name_food,price_food,link_rest
Tổ Chim Chiên Xù,60000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-restaurant-le-dai-hanh
Thịt Heo Nướng,14000.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh
Há Cảo Hải Sản Dát Vàng,99000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-restaurant-le-dai-hanh
Bánh Mì Bơ Patê,13000.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh
Bánh Nướng Phô Mai,48000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-restaurant-le-dai-hanh
1 Phần Đu Đủ,10000.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh
Bông Cải Sốt Dầu Hào,98000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-restaurant-le-dai-hanh
1 Phần Bơ A Tùng,15000.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh
Nấm Rang Kiểu Hồng Kông,118000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-restaurant-le-dai-hanh
Bánh Mì Không,4500.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh
Bông Cải Sò Điệp Sốt Thịt Cua,228000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-restaurant-le-dai-hanh
Há Cảo Thuỷ Tinh,60000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-restaurant-le-dai-hanh
Há Cảo Sò Điệp,62000.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-restaurant-le-dai-hanh
COMBO 2,494640.0,https://www.foody.vn/ho-chi-minh/buzza-pizza-nowzone
COMBO 1,430920.0,https://www.foody.vn/ho-chi-minh/buzza-pizza-nowzone
CHICKEN BBQ PIZZA,204120.0,https://www.foody.vn/ho-chi-minh/buzza-pizza-nowzone
Seafoof Platter,430920.0,https://www.foody.vn/ho-chi-minh/buzza-pizza-nowzone
1 QUATTRO FORMAGGI PIZZA,204120.0,https://www.foody.vn/ho-chi-minh/buzza-pizza-nowzone
Hawaiian Pizza 0Đ,204120.0,https://www.foody.vn/ho-chi-minh/buzza-pizza-nowzone
Pepsi lẻ,15000.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
Green salad,74520.0,https://www.foody.vn/ho-chi-minh/buzza-pizza-nowzone
Pepsi lẻ,15000.0,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
Chicken salad,106920.0,https://www.foody.vn/ho-chi-minh/buzza-pizza-nowzone
