rest_id,rest_name,Cate,open_time,close_time,lowest_price,hightest_price,avg_score,quality_score,price_score,service_score,space_score,location_score,rest_address,rest_link
1128,AKA House - Buffet Nướng & Lẩu Nhật Bản - Vạn Hạnh Mall,Nha Hang,11:00,21:00,100.000,300.000,6.3,6.1,6.2,5.9,6.5,6.9,"Tầng 6,  09 Tầng 6 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",/ho-chi-minh/aka-house-buffet-nuong-lau-nhat-ban-van-hanh-mall
340,Sumo BBQ - Vạn Hạnh Mall - Buffet Nướng & Lẩu,Buffet,10:00,22:00,269.000,389.000,8.2,8.5,7.5,8.1,8.7,8.4,"Tầng 5,  Tầng 5 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",/ho-chi-minh/sumo-bbq-van-hanh-mall-buffet-nuong-lau
340,Sumo BBQ - Vạn Hạnh Mall - Buffet Nướng & Lẩu,Nha Hang,10:00,22:00,269.000,389.000,8.2,8.5,7.5,8.1,8.7,8.4,"Tầng 5,  Tầng 5 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",/ho-chi-minh/sumo-bbq-van-hanh-mall-buffet-nuong-lau
567,AKA House - Buffet Nướng & Lẩu Nhật Bản - Nguyễn Thị Thập,Nha Hang,11:00,21:00,100.000,300.000,6.6,6.3,6.4,6.7,6.8,6.8,"384 Nguyễn Thị Thập, P. Tân Quy, Quận 7, TP. HCM",/ho-chi-minh/aka-house-buffet-nuong-lau-nhat-ban-nguyen-thi-thap
88,Sumo BBQ - Phan Văn Trị - Buffet Nướng & Lẩu,Buffet,11:00,22:00,300.000,500.000,6.9,6.8,6.6,6.8,7.2,7.4,"439A1 Phan Văn Trị, P. 5, Quận Gò Vấp, TP. HCM",/ho-chi-minh/sumo-bbq-phan-van-tri-buffet-nuong-lau
88,Sumo BBQ - Phan Văn Trị - Buffet Nướng & Lẩu,Nha Hang,11:00,22:00,300.000,500.000,6.9,6.8,6.6,6.8,7.2,7.4,"439A1 Phan Văn Trị, P. 5, Quận Gò Vấp, TP. HCM",/ho-chi-minh/sumo-bbq-phan-van-tri-buffet-nuong-lau
296,Bánh Tráng Nướng Đà Lạt NTP,An Vat Via He,16:30,23:00,7.000,19.000,7.3,7.6,7.4,7.1,7.0,7.6,"285 Hùng Vương, P 9, Quận 5, TP. HCM",/ho-chi-minh/banh-trang-nuong-da-lat-ntp
27,AKA House - Buffet Nướng & Lẩu Nhật Bản - Nguyễn Gia Trí,Nha Hang,11:00,21:00,100.000,300.000,6.0,5.6,5.8,5.6,6.3,6.7,"124 Nguyễn Gia Trí (Đường D2), P. 25, Quận Bình Thạnh, TP. HCM",/ho-chi-minh/aka-house-buffet-nuong-lau-nhat-ban-nguyen-gia-tri
979,Sumo BBQ - Gigamall - Buffet Nướng & Lẩu,Buffet,11:00,22:00,300.000,407.000,9.6,9.6,9.4,9.6,9.6,9.6,"Gian Hàng 05 - 16, 05 - 17, Tầng 5 Giga Mall, 240 - 242 Phạm Văn Đồng, P. Hiệp Bình Chánh, Tp. Thủ Đức, TP. HCM",/ho-chi-minh/sumo-bbq-giga-mall-buffet-nuong-lau
979,Sumo BBQ - Gigamall - Buffet Nướng & Lẩu,Nha Hang,11:00,22:00,300.000,407.000,9.6,9.6,9.4,9.6,9.6,9.6,"Gian Hàng 05 - 16, 05 - 17, Tầng 5 Giga Mall, 240 - 242 Phạm Văn Đồng, P. Hiệp Bình Chánh, Tp. Thủ Đức, TP. HCM",/ho-chi-minh/sumo-bbq-giga-mall-buffet-nuong-lau
825,AKA House - Buffet Nướng & Lẩu Nhật Bản - Sense City Phạm Văn Đồng,Nha Hang,11:00,21:00,100.000,300.000,6.6,6.4,6.4,6.3,6.9,6.9,"Tầng 3,  Tầng 3 Sense City Phạm Văn Đồng, 240 - 242 Kha Vạn Cân, P. Hiệp Bình Chánh, Tp. Thủ Đức, TP. HCM",/ho-chi-minh/aka-house-buffet-nuong-lau-nhat-ban-sense-city-pham-van-dong
